@RELATION test

@ATTRIBUTE review REAL
@ATTRIBUTE np1 REAL
@ATTRIBUTE np2 REAL
@ATTRIBUTE np1ispr {false,true}
@ATTRIBUTE np2ispr {false,true}
@ATTRIBUTE np2isdefnp {false,true}
@ATTRIBUTE np2isdemnp {false,true}
@ATTRIBUTE distance REAL
@ATTRIBUTE numberagreement {false,true}
@ATTRIBUTE isbetween {false,true}
@ATTRIBUTE hasbetween {false,true}
@ATTRIBUTE comparative {false,true}
@ATTRIBUTE sentiment {0,1,2}
@ATTRIBUTE bothpropername {false,true}
@ATTRIBUTE subString {false,true}
@ATTRIBUTE headMatch {false,true}
@ATTRIBUTE exactMatch {false,true}
@ATTRIBUTE PMI {0,1,2,3,4,10,11}
@ATTRIBUTE relativeClause {false,true}
@ATTRIBUTE coref {false,true}

@DATA
8,18,27,false,false,false,false,3,true,false,false,false,2,false,false,false,false,10,false,false
8,17,27,false,false,false,false,3,true,false,false,false,2,false,false,false,false,10,false,false
8,16,27,false,false,false,false,3,true,false,false,false,2,false,false,false,false,10,false,false
8,15,27,false,false,false,false,3,true,false,false,false,2,false,false,false,false,10,false,false
8,14,27,false,false,false,false,3,true,false,false,false,2,false,false,false,false,10,false,false
8,13,27,true,false,false,false,3,true,false,false,false,2,false,false,false,false,10,false,false
8,12,27,false,false,false,false,4,true,false,false,false,2,false,false,false,false,10,false,false
8,11,27,false,false,false,false,4,true,false,false,false,2,false,false,false,false,10,false,false
8,10,27,true,false,false,false,4,true,false,false,false,2,false,false,false,false,10,false,false
8,9,27,false,false,false,false,4,true,false,false,false,2,false,false,false,false,10,false,false
8,8,27,true,false,false,false,5,true,false,false,false,2,false,false,false,false,10,false,false
8,7,27,false,false,false,false,5,true,false,false,false,2,true,false,false,false,10,false,false
8,6,27,false,false,false,false,6,true,false,false,false,2,false,false,false,false,10,false,false
8,5,27,true,false,false,false,6,true,false,false,false,2,false,false,false,false,10,false,false
8,4,27,false,false,false,false,6,true,false,false,false,2,true,false,false,false,10,false,false
8,3,27,false,false,false,false,7,true,false,false,false,2,false,false,false,false,10,false,false
8,2,27,false,false,false,false,7,true,false,false,false,2,true,false,false,false,10,false,false
8,1,27,false,false,false,false,7,true,false,false,false,2,false,false,false,false,10,false,false
